reference 70.0 45.0
thermometer temp-p
2007-04-05T22:00 72.1
2007-04-05T22:01 78.8
2007-04-05T22:02 73.3
2007-04-05T22:03 68.8
2007-04-05T22:04 68.5
2007-04-05T22:05 73.7
2007-04-05T22:06 61.3
2007-04-05T22:07 63.1
2007-04-05T22:08 61.9
2007-04-05T22:08 66.0
thermometer temp-vp
2007-04-05T22:00 71.5
2007-04-05T22:01 76.2
2007-04-05T22:02 72.3
2007-04-05T22:03 69.1
2007-04-05T22:04 68.9
2007-04-05T22:05 72.6
2007-04-05T22:06 67.9
2007-04-05T22:07 65.2
2007-04-05T22:08 68.4
2007-04-05T22:08 67.2
thermometer temp-up
2007-04-05T22:00 71.0
2007-04-05T22:01 72.7
2007-04-05T22:02 71.3
2007-04-05T22:03 70.2
2007-04-05T22:04 70.1
2007-04-05T22:05 71.4
2007-04-05T22:06 68.3
2007-04-05T22:07 68.8
2007-04-05T22:08 68.5
2007-04-05T22:08 69.5
humidity hum-keep
2007-04-05T22:04 45.2
2007-04-05T22:05 45.9
2007-04-05T22:06 45.3
2007-04-05T22:07 44.9
2007-04-05T22:08 44.8
humidity hum-discard
2007-04-05T22:04 48.0
2007-04-05T22:05 49.4
2007-04-05T22:06 45.6
2007-04-05T22:07 44.4
2007-04-05T22:08 46.1
